production_order_no,plant_code,material_code,planned_qty,completed_qty,start_date,end_date,status,line_code
MO-2026-00070,VN11,FG-2002,813,745,2026-05-12,2026-05-21,IN_PROGRESS,VN11-LINE-03
MO-2026-00071,CN11,FG-1001,459,377,2026-05-12,2026-05-22,DELAYED,CN11-LINE-05
MO-2026-00072,CN11,FG-1002,816,789,2026-05-09,2026-05-15,COMPLETED,CN11-LINE-02
MO-2026-00073,CN11,FG-1003,1077,1046,2026-05-01,2026-05-10,COMPLETED,CN11-LINE-03
MO-2026-00074,CN11,FG-2001,638,573,2026-05-16,2026-05-23,COMPLETED,CN11-LINE-05
MO-2026-00075,CN11,FG-2002,449,416,2026-05-06,2026-05-13,COMPLETED,CN11-LINE-01
MO-2026-00076,KR11,FG-1001,928,840,2026-06-15,2026-06-18,COMPLETED,KR11-LINE-04
MO-2026-00077,KR11,FG-1002,648,605,2026-06-13,2026-06-23,COMPLETED,KR11-LINE-03
MO-2026-00078,KR11,FG-1003,1088,1139,2026-06-15,2026-06-19,COMPLETED,KR11-LINE-03
MO-2026-00079,KR11,FG-2001,368,302,2026-06-06,2026-06-10,IN_PROGRESS,KR11-LINE-04
MO-2026-00080,KR11,FG-2002,1227,1114,2026-06-07,2026-06-14,PLANNED,KR11-LINE-01
MO-2026-00081,VN11,FG-1001,759,661,2026-06-10,2026-06-14,COMPLETED,VN11-LINE-01
MO-2026-00082,VN11,FG-1002,845,781,2026-06-11,2026-06-19,COMPLETED,VN11-LINE-02
MO-2026-00083,VN11,FG-1003,1076,887,2026-06-05,2026-06-10,RELEASED,VN11-LINE-01
MO-2026-00084,VN11,FG-2001,1018,1039,2026-06-02,2026-06-04,IN_PROGRESS,VN11-LINE-01
MO-2026-00085,VN11,FG-2002,767,712,2026-06-01,2026-06-07,RELEASED,VN11-LINE-04
MO-2026-00086,CN11,FG-1001,464,435,2026-06-10,2026-06-13,COMPLETED,CN11-LINE-01
MO-2026-00087,CN11,FG-1002,663,598,2026-06-06,2026-06-08,IN_PROGRESS,CN11-LINE-05
MO-2026-00088,CN11,FG-1003,276,268,2026-06-16,2026-06-20,DELAYED,CN11-LINE-01
MO-2026-00089,CN11,FG-2001,1185,1241,2026-06-15,2026-06-17,IN_PROGRESS,CN11-LINE-01
MO-2026-00090,CN11,FG-2002,1122,1110,2026-06-02,2026-06-04,PLANNED,CN11-LINE-02
MO-2026-00091,KR11,FG-1001,440,398,2026-07-04,2026-07-12,IN_PROGRESS,KR11-LINE-04
MO-2026-00092,KR11,FG-1002,591,499,2026-07-02,2026-07-06,COMPLETED,KR11-LINE-01
MO-2026-00093,KR11,FG-1003,1027,1026,2026-07-05,2026-07-14,COMPLETED,KR11-LINE-04
MO-2026-00094,KR11,FG-2001,275,270,2026-07-08,2026-07-15,COMPLETED,KR11-LINE-05
MO-2026-00095,KR11,FG-2002,1236,1111,2026-07-13,2026-07-17,COMPLETED,KR11-LINE-05
MO-2026-00096,VN11,FG-1001,1265,1290,2026-07-16,2026-07-23,PLANNED,VN11-LINE-02
MO-2026-00097,VN11,FG-1002,1075,1083,2026-07-15,2026-07-24,PLANNED,VN11-LINE-01
MO-2026-00098,VN11,FG-1003,460,419,2026-07-01,2026-07-04,PLANNED,VN11-LINE-05
MO-2026-00099,VN11,FG-2001,1184,1229,2026-07-02,2026-07-07,IN_PROGRESS,VN11-LINE-04
MO-2026-00100,VN11,FG-2002,1176,995,2026-07-08,2026-07-10,COMPLETED,VN11-LINE-03
MO-2026-00101,CN11,FG-1001,467,387,2026-07-05,2026-07-13,RELEASED,CN11-LINE-01
MO-2026-00102,CN11,FG-1002,1186,1197,2026-07-11,2026-07-14,RELEASED,CN11-LINE-04
MO-2026-00103,CN11,FG-1003,1172,1084,2026-07-05,2026-07-14,COMPLETED,CN11-LINE-01
MO-2026-00104,CN11,FG-2001,1291,1290,2026-07-06,2026-07-10,DELAYED,CN11-LINE-01
MO-2026-00105,CN11,FG-2002,1107,1157,2026-07-08,2026-07-14,DELAYED,CN11-LINE-04
MO-2026-00106,KR11,FG-1001,1299,1154,2026-08-11,2026-08-21,COMPLETED,KR11-LINE-02
MO-2026-00107,KR11,FG-1002,521,544,2026-08-06,2026-08-16,COMPLETED,KR11-LINE-05
MO-2026-00108,KR11,FG-1003,1104,1076,2026-08-10,2026-08-18,COMPLETED,KR11-LINE-01
MO-2026-00109,KR11,FG-2001,796,790,2026-08-10,2026-08-16,RELEASED,KR11-LINE-02
MO-2026-00110,KR11,FG-2002,1176,992,2026-08-08,2026-08-18,COMPLETED,KR11-LINE-04
MO-2026-00111,VN11,FG-1001,346,357,2026-08-11,2026-08-21,IN_PROGRESS,VN11-LINE-01
MO-2026-00112,VN11,FG-1002,1157,1169,2026-08-12,2026-08-22,DELAYED,VN11-LINE-05
MO-2026-00113,VN11,FG-1003,402,346,2026-08-04,2026-08-12,RELEASED,VN11-LINE-01
MO-2026-00114,VN11,FG-2001,261,233,2026-08-05,2026-08-07,COMPLETED,VN11-LINE-02
MO-2026-00115,VN11,FG-2002,866,807,2026-08-12,2026-08-15,COMPLETED,VN11-LINE-03
MO-2026-00116,CN11,FG-1001,1101,1040,2026-08-12,2026-08-17,IN_PROGRESS,CN11-LINE-02
MO-2026-00117,CN11,FG-1002,1222,1282,2026-08-01,2026-08-04,COMPLETED,CN11-LINE-03
MO-2026-00118,CN11,FG-1003,331,323,2026-08-04,2026-08-12,IN_PROGRESS,CN11-LINE-03
MO-2026-00119,CN11,FG-2001,1303,1309,2026-08-02,2026-08-08,IN_PROGRESS,CN11-LINE-02
MO-2026-00120,CN11,FG-2002,1351,1273,2026-08-07,2026-08-12,COMPLETED,CN11-LINE-04
MO-2026-00121,KR11,FG-1001,1141,1105,2026-09-05,2026-09-07,DELAYED,KR11-LINE-04
MO-2026-00122,KR11,FG-1002,394,375,2026-09-09,2026-09-17,RELEASED,KR11-LINE-04
MO-2026-00123,KR11,FG-1003,1345,1104,2026-09-03,2026-09-05,COMPLETED,KR11-LINE-01
MO-2026-00124,KR11,FG-2001,427,377,2026-09-13,2026-09-21,DELAYED,KR11-LINE-01
MO-2026-00125,KR11,FG-2002,1367,1213,2026-09-10,2026-09-17,COMPLETED,KR11-LINE-01
MO-2026-00126,VN11,FG-1001,1057,997,2026-09-10,2026-09-15,DELAYED,VN11-LINE-03
MO-2026-00127,VN11,FG-1002,702,675,2026-09-04,2026-09-08,IN_PROGRESS,VN11-LINE-05
MO-2026-00128,VN11,FG-1003,1375,1150,2026-09-09,2026-09-12,COMPLETED,VN11-LINE-02
MO-2026-00129,VN11,FG-2001,454,402,2026-09-07,2026-09-14,PLANNED,VN11-LINE-04
MO-2026-00130,VN11,FG-2002,996,1001,2026-09-06,2026-09-08,DELAYED,VN11-LINE-03
MO-2026-00131,CN11,FG-1001,986,838,2026-09-16,2026-09-25,COMPLETED,CN11-LINE-04
MO-2026-00132,CN11,FG-1002,417,422,2026-09-05,2026-09-15,COMPLETED,CN11-LINE-02
MO-2026-00133,CN11,FG-1003,1288,1243,2026-09-13,2026-09-18,COMPLETED,CN11-LINE-01
MO-2026-00134,CN11,FG-2001,554,500,2026-09-10,2026-09-14,RELEASED,CN11-LINE-04
MO-2026-00135,CN11,FG-2002,589,585,2026-09-06,2026-09-10,RELEASED,CN11-LINE-05
MO-2026-00136,KR11,FG-1001,984,816,2026-10-08,2026-10-11,COMPLETED,KR11-LINE-03
MO-2026-00137,KR11,FG-1002,1044,968,2026-10-02,2026-10-04,COMPLETED,KR11-LINE-03
MO-2026-00138,KR11,FG-1003,789,751,2026-10-13,2026-10-21,COMPLETED,KR11-LINE-03
MO-2026-00139,KR11,FG-2001,706,662,2026-10-12,2026-10-21,IN_PROGRESS,KR11-LINE-04
MO-2026-00140,KR11,FG-2002,1303,1261,2026-10-06,2026-10-10,RELEASED,KR11-LINE-03
MO-2026-00141,VN11,FG-1001,482,448,2026-10-07,2026-10-11,COMPLETED,VN11-LINE-04
MO-2026-00142,VN11,FG-1002,1299,1076,2026-10-02,2026-10-06,COMPLETED,VN11-LINE-03
MO-2026-00143,VN11,FG-1003,830,861,2026-10-16,2026-10-25,RELEASED,VN11-LINE-02
MO-2026-00144,VN11,FG-2001,622,599,2026-10-06,2026-10-13,COMPLETED,VN11-LINE-04
MO-2026-00145,VN11,FG-2002,664,624,2026-10-14,2026-10-18,DELAYED,VN11-LINE-05
MO-2026-00146,CN11,FG-1001,1338,1252,2026-10-16,2026-10-20,RELEASED,CN11-LINE-05
MO-2026-00147,CN11,FG-1002,1319,1209,2026-10-14,2026-10-19,COMPLETED,CN11-LINE-04
MO-2026-00148,CN11,FG-1003,450,413,2026-10-08,2026-10-11,IN_PROGRESS,CN11-LINE-03
MO-2026-00149,CN11,FG-2001,264,251,2026-10-01,2026-10-09,RELEASED,CN11-LINE-02
MO-2026-00150,CN11,FG-2002,785,798,2026-10-12,2026-10-18,IN_PROGRESS,CN11-LINE-04
MO-2026-00151,KR11,FG-1001,1386,1290,2026-11-12,2026-11-20,DELAYED,KR11-LINE-02
MO-2026-00152,KR11,FG-1002,689,645,2026-11-02,2026-11-06,COMPLETED,KR11-LINE-04
MO-2026-00153,KR11,FG-1003,1141,958,2026-11-12,2026-11-15,IN_PROGRESS,KR11-LINE-05
MO-2026-00154,KR11,FG-2001,836,822,2026-11-06,2026-11-15,COMPLETED,KR11-LINE-04
MO-2026-00155,KR11,FG-2002,318,318,2026-11-08,2026-11-12,COMPLETED,KR11-LINE-01
MO-2026-00156,VN11,FG-1001,1068,962,2026-11-07,2026-11-17,IN_PROGRESS,VN11-LINE-01
MO-2026-00157,VN11,FG-1002,962,865,2026-11-08,2026-11-13,COMPLETED,VN11-LINE-04
MO-2026-00158,VN11,FG-1003,398,372,2026-11-04,2026-11-14,IN_PROGRESS,VN11-LINE-03
MO-2026-00159,VN11,FG-2001,1240,1236,2026-11-15,2026-11-24,COMPLETED,VN11-LINE-05
MO-2026-00160,VN11,FG-2002,701,683,2026-11-11,2026-11-19,RELEASED,VN11-LINE-03
MO-2026-00161,CN11,FG-1001,1067,1040,2026-11-03,2026-11-13,COMPLETED,CN11-LINE-02
MO-2026-00162,CN11,FG-1002,639,597,2026-11-08,2026-11-14,RELEASED,CN11-LINE-02
MO-2026-00163,CN11,FG-1003,468,396,2026-11-16,2026-11-18,PLANNED,CN11-LINE-05
MO-2026-00164,CN11,FG-2001,812,757,2026-11-09,2026-11-17,DELAYED,CN11-LINE-02
MO-2026-00165,CN11,FG-2002,316,295,2026-11-06,2026-11-15,IN_PROGRESS,CN11-LINE-01
MO-2026-00166,KR11,FG-1001,456,408,2026-12-09,2026-12-13,COMPLETED,KR11-LINE-05
MO-2026-00167,KR11,FG-1002,1271,1166,2026-12-12,2026-12-19,IN_PROGRESS,KR11-LINE-04
MO-2026-00168,KR11,FG-1003,454,447,2026-12-14,2026-12-22,COMPLETED,KR11-LINE-02
MO-2026-00169,KR11,FG-2001,1113,1040,2026-12-11,2026-12-20,DELAYED,KR11-LINE-03
MO-2026-00170,KR11,FG-2002,372,323,2026-12-04,2026-12-13,IN_PROGRESS,KR11-LINE-03
MO-2026-00171,VN11,FG-1001,290,265,2026-12-07,2026-12-17,IN_PROGRESS,VN11-LINE-02
MO-2026-00172,VN11,FG-1002,410,372,2026-12-05,2026-12-09,IN_PROGRESS,VN11-LINE-03
MO-2026-00173,VN11,FG-1003,581,522,2026-12-10,2026-12-16,IN_PROGRESS,VN11-LINE-05
MO-2026-00174,VN11,FG-2001,1316,1371,2026-12-06,2026-12-08,IN_PROGRESS,VN11-LINE-02
MO-2026-00175,VN11,FG-2002,591,538,2026-12-16,2026-12-26,PLANNED,VN11-LINE-01
MO-2026-00176,CN11,FG-1001,568,476,2026-12-13,2026-12-19,DELAYED,CN11-LINE-02
MO-2026-00177,CN11,FG-1002,599,495,2026-12-11,2026-12-20,COMPLETED,CN11-LINE-04
MO-2026-00178,CN11,FG-1003,1354,1165,2026-12-14,2026-12-24,COMPLETED,CN11-LINE-05
MO-2026-00179,CN11,FG-2001,880,795,2026-12-10,2026-12-12,IN_PROGRESS,CN11-LINE-01
MO-2026-00180,CN11,FG-2002,267,261,2026-12-16,2026-12-22,COMPLETED,CN11-LINE-01
