sales_order_no,order_date,requested_delivery_date,customer_code,material_code,quantity,unit_price,amount,currency,status,company_code
SO-2026-00048,2026-03-14,2026-04-09,CUST-005,FG-1003,246,35000,8610000,USD,SHIPPED,KR01
SO-2026-00049,2026-03-06,2026-04-10,CUST-002,FG-1002,224,89000,19936000,KRW,CONFIRMED,KR01
SO-2026-00050,2026-03-11,2026-04-12,CUST-006,FG-1002,256,89000,22784000,USD,PARTIAL,KR01
SO-2026-00051,2026-03-23,2026-04-02,CUST-003,FG-1002,60,89000,5340000,KRW,CONFIRMED,KR01
SO-2026-00052,2026-03-07,2026-04-09,CUST-004,FG-1001,76,42000,3192000,USD,PARTIAL,KR01
SO-2026-00053,2026-03-08,2026-03-22,CUST-003,FG-1003,230,35000,8050000,KRW,OPEN,KR01
SO-2026-00054,2026-03-09,2026-04-12,CUST-004,FG-1002,104,89000,9256000,USD,OPEN,KR01
SO-2026-00055,2026-04-17,2026-05-06,CUST-003,FG-1003,184,35000,6440000,KRW,SHIPPED,KR01
SO-2026-00056,2026-04-01,2026-04-11,CUST-003,FG-2002,260,22000,5720000,KRW,PARTIAL,KR01
SO-2026-00057,2026-04-09,2026-04-17,CUST-002,FG-1003,168,35000,5880000,KRW,OPEN,KR01
SO-2026-00058,2026-04-11,2026-05-01,CUST-003,FG-2001,206,28000,5768000,KRW,SHIPPED,KR01
SO-2026-00059,2026-04-19,2026-05-02,CUST-001,FG-2002,118,22000,2596000,KRW,CONFIRMED,KR01
SO-2026-00060,2026-04-18,2026-05-16,CUST-001,FG-2001,153,28000,4284000,KRW,SHIPPED,KR01
SO-2026-00061,2026-04-03,2026-05-01,CUST-003,FG-1002,130,89000,11570000,KRW,PARTIAL,KR01
SO-2026-00062,2026-04-04,2026-05-04,CUST-003,FG-2002,189,22000,4158000,KRW,PARTIAL,KR01
SO-2026-00063,2026-04-14,2026-05-01,CUST-003,FG-2002,190,22000,4180000,KRW,CONFIRMED,KR01
SO-2026-00064,2026-04-07,2026-04-27,CUST-005,FG-1003,52,35000,1820000,USD,SHIPPED,KR01
SO-2026-00065,2026-04-06,2026-05-02,CUST-006,FG-2001,211,28000,5908000,USD,SHIPPED,KR01
SO-2026-00066,2026-04-01,2026-04-17,CUST-005,FG-2001,233,28000,6524000,USD,CONFIRMED,KR01
SO-2026-00067,2026-04-21,2026-05-08,CUST-005,FG-2001,175,28000,4900000,USD,SHIPPED,KR01
SO-2026-00068,2026-04-17,2026-05-09,CUST-006,FG-2001,74,28000,2072000,USD,SHIPPED,KR01
SO-2026-00069,2026-04-10,2026-05-03,CUST-006,FG-1002,41,89000,3649000,USD,SHIPPED,KR01
SO-2026-00070,2026-04-25,2026-05-09,CUST-003,FG-2002,43,22000,946000,KRW,SHIPPED,KR01
SO-2026-00071,2026-04-01,2026-04-09,CUST-002,FG-1002,57,89000,5073000,KRW,CONFIRMED,KR01
SO-2026-00072,2026-04-25,2026-05-04,CUST-005,FG-2001,237,28000,6636000,USD,SHIPPED,KR01
SO-2026-00073,2026-05-23,2026-06-11,CUST-002,FG-2002,203,22000,4466000,KRW,SHIPPED,KR01
SO-2026-00074,2026-05-23,2026-05-30,CUST-002,FG-1002,187,89000,16643000,KRW,PARTIAL,KR01
SO-2026-00075,2026-05-06,2026-06-07,CUST-004,FG-1001,76,42000,3192000,USD,CANCELLED,KR01
SO-2026-00076,2026-05-18,2026-06-01,CUST-004,FG-2002,32,22000,704000,USD,PARTIAL,KR01
SO-2026-00077,2026-05-15,2026-06-12,CUST-004,FG-1001,54,42000,2268000,USD,SHIPPED,KR01
SO-2026-00078,2026-05-25,2026-06-29,CUST-005,FG-2002,101,22000,2222000,USD,CONFIRMED,KR01
SO-2026-00079,2026-05-18,2026-06-08,CUST-004,FG-2002,232,22000,5104000,USD,PARTIAL,KR01
SO-2026-00080,2026-05-25,2026-06-08,CUST-004,FG-2001,86,28000,2408000,USD,PARTIAL,KR01
SO-2026-00081,2026-05-21,2026-06-04,CUST-005,FG-1003,144,35000,5040000,USD,CONFIRMED,KR01
SO-2026-00082,2026-05-08,2026-05-23,CUST-006,FG-1001,93,42000,3906000,USD,CONFIRMED,KR01
SO-2026-00083,2026-05-05,2026-05-19,CUST-001,FG-2002,55,22000,1210000,KRW,CONFIRMED,KR01
SO-2026-00084,2026-05-03,2026-05-23,CUST-006,FG-1002,74,89000,6586000,USD,CONFIRMED,KR01
SO-2026-00085,2026-05-02,2026-05-15,CUST-004,FG-2002,126,22000,2772000,USD,PARTIAL,KR01
SO-2026-00086,2026-05-01,2026-06-04,CUST-005,FG-2001,198,28000,5544000,USD,PARTIAL,KR01
SO-2026-00087,2026-05-01,2026-05-19,CUST-004,FG-2002,142,22000,3124000,USD,CONFIRMED,KR01
SO-2026-00088,2026-05-24,2026-06-23,CUST-004,FG-2001,157,28000,4396000,USD,SHIPPED,KR01
SO-2026-00089,2026-05-08,2026-05-23,CUST-002,FG-2002,144,22000,3168000,KRW,CONFIRMED,KR01
SO-2026-00090,2026-05-22,2026-06-19,CUST-004,FG-1001,106,42000,4452000,USD,SHIPPED,KR01
SO-2026-00091,2026-06-05,2026-07-01,CUST-004,FG-1002,255,89000,22695000,USD,SHIPPED,KR01
SO-2026-00092,2026-06-22,2026-06-29,CUST-005,FG-2001,164,28000,4592000,USD,OPEN,KR01
SO-2026-00093,2026-06-15,2026-06-27,CUST-002,FG-2001,241,28000,6748000,KRW,OPEN,KR01
SO-2026-00094,2026-06-15,2026-07-02,CUST-003,FG-2001,74,28000,2072000,KRW,CONFIRMED,KR01
SO-2026-00095,2026-06-14,2026-06-29,CUST-003,FG-2001,212,28000,5936000,KRW,PARTIAL,KR01
SO-2026-00096,2026-06-18,2026-06-26,CUST-001,FG-2001,211,28000,5908000,KRW,CANCELLED,KR01
SO-2026-00097,2026-06-03,2026-07-04,CUST-002,FG-1003,186,35000,6510000,KRW,CANCELLED,KR01
SO-2026-00098,2026-06-07,2026-07-10,CUST-001,FG-1001,83,42000,3486000,KRW,OPEN,KR01
SO-2026-00099,2026-06-16,2026-07-14,CUST-002,FG-1002,52,89000,4628000,KRW,OPEN,KR01
SO-2026-00100,2026-06-09,2026-07-10,CUST-004,FG-1002,199,89000,17711000,USD,CONFIRMED,KR01
SO-2026-00101,2026-06-23,2026-07-03,CUST-005,FG-2002,211,22000,4642000,USD,SHIPPED,KR01
SO-2026-00102,2026-06-19,2026-06-26,CUST-003,FG-1002,47,89000,4183000,KRW,PARTIAL,KR01
SO-2026-00103,2026-06-13,2026-07-02,CUST-006,FG-2002,252,22000,5544000,USD,PARTIAL,KR01
SO-2026-00104,2026-06-23,2026-07-26,CUST-001,FG-1002,171,89000,15219000,KRW,SHIPPED,KR01
SO-2026-00105,2026-06-10,2026-07-14,CUST-006,FG-1001,217,42000,9114000,USD,SHIPPED,KR01
SO-2026-00106,2026-06-02,2026-06-20,CUST-005,FG-1001,220,42000,9240000,USD,SHIPPED,KR01
SO-2026-00107,2026-06-21,2026-07-08,CUST-001,FG-1003,149,35000,5215000,KRW,OPEN,KR01
SO-2026-00108,2026-06-14,2026-07-02,CUST-004,FG-2001,47,28000,1316000,USD,SHIPPED,KR01
SO-2026-00109,2026-07-14,2026-07-26,CUST-006,FG-2001,59,28000,1652000,USD,SHIPPED,KR01
SO-2026-00110,2026-07-18,2026-08-18,CUST-005,FG-1003,226,35000,7910000,USD,SHIPPED,KR01
SO-2026-00111,2026-07-09,2026-07-26,CUST-006,FG-2001,171,28000,4788000,USD,PARTIAL,KR01
SO-2026-00112,2026-07-15,2026-07-29,CUST-003,FG-1001,245,42000,10290000,KRW,SHIPPED,KR01
SO-2026-00113,2026-07-13,2026-07-30,CUST-005,FG-2002,191,22000,4202000,USD,OPEN,KR01
SO-2026-00114,2026-07-07,2026-07-25,CUST-002,FG-1003,144,35000,5040000,KRW,SHIPPED,KR01
SO-2026-00115,2026-07-20,2026-08-18,CUST-003,FG-1003,245,35000,8575000,KRW,PARTIAL,KR01
SO-2026-00116,2026-07-07,2026-07-16,CUST-001,FG-2002,152,22000,3344000,KRW,CONFIRMED,KR01
SO-2026-00117,2026-07-25,2026-08-08,CUST-004,FG-2001,162,28000,4536000,USD,SHIPPED,KR01
SO-2026-00118,2026-07-01,2026-07-10,CUST-004,FG-2001,222,28000,6216000,USD,CONFIRMED,KR01
SO-2026-00119,2026-07-10,2026-08-07,CUST-006,FG-2001,82,28000,2296000,USD,SHIPPED,KR01
SO-2026-00120,2026-07-12,2026-08-01,CUST-005,FG-2001,155,28000,4340000,USD,CANCELLED,KR01
SO-2026-00121,2026-07-23,2026-08-13,CUST-003,FG-2002,110,22000,2420000,KRW,CONFIRMED,KR01
SO-2026-00122,2026-07-24,2026-08-06,CUST-002,FG-1003,50,35000,1750000,KRW,CONFIRMED,KR01
SO-2026-00123,2026-07-07,2026-07-20,CUST-006,FG-2002,67,22000,1474000,USD,SHIPPED,KR01
SO-2026-00124,2026-07-25,2026-08-17,CUST-006,FG-1003,170,35000,5950000,USD,SHIPPED,KR01
SO-2026-00125,2026-07-08,2026-07-26,CUST-002,FG-1001,95,42000,3990000,KRW,CONFIRMED,KR01
SO-2026-00126,2026-07-05,2026-07-20,CUST-006,FG-1001,156,42000,6552000,USD,OPEN,KR01
SO-2026-00127,2026-08-23,2026-09-03,CUST-005,FG-1001,94,42000,3948000,USD,SHIPPED,KR01
SO-2026-00128,2026-08-01,2026-08-26,CUST-001,FG-2001,243,28000,6804000,KRW,CONFIRMED,KR01
SO-2026-00129,2026-08-06,2026-08-14,CUST-004,FG-2001,107,28000,2996000,USD,CONFIRMED,KR01
SO-2026-00130,2026-08-03,2026-08-22,CUST-001,FG-2001,230,28000,6440000,KRW,SHIPPED,KR01
SO-2026-00131,2026-08-02,2026-08-13,CUST-006,FG-2002,195,22000,4290000,USD,OPEN,KR01
SO-2026-00132,2026-08-08,2026-08-18,CUST-003,FG-2002,41,22000,902000,KRW,SHIPPED,KR01
SO-2026-00133,2026-08-20,2026-09-03,CUST-005,FG-2001,172,28000,4816000,USD,SHIPPED,KR01
SO-2026-00134,2026-08-15,2026-08-31,CUST-004,FG-2001,252,28000,7056000,USD,PARTIAL,KR01
SO-2026-00135,2026-08-20,2026-08-28,CUST-003,FG-2001,165,28000,4620000,KRW,SHIPPED,KR01
SO-2026-00136,2026-08-07,2026-08-22,CUST-002,FG-1001,180,42000,7560000,KRW,SHIPPED,KR01
SO-2026-00137,2026-08-18,2026-08-27,CUST-002,FG-1002,64,89000,5696000,KRW,CONFIRMED,KR01
SO-2026-00138,2026-08-20,2026-09-11,CUST-004,FG-2001,196,28000,5488000,USD,CONFIRMED,KR01
SO-2026-00139,2026-08-10,2026-09-08,CUST-003,FG-1002,200,89000,17800000,KRW,PARTIAL,KR01
SO-2026-00140,2026-08-09,2026-09-10,CUST-006,FG-1001,79,42000,3318000,USD,SHIPPED,KR01
SO-2026-00141,2026-08-07,2026-08-27,CUST-006,FG-2002,225,22000,4950000,USD,OPEN,KR01
SO-2026-00142,2026-08-09,2026-09-11,CUST-006,FG-1002,58,89000,5162000,USD,OPEN,KR01
SO-2026-00143,2026-08-10,2026-09-05,CUST-002,FG-1001,222,42000,9324000,KRW,SHIPPED,KR01
SO-2026-00144,2026-08-04,2026-08-25,CUST-003,FG-2002,132,22000,2904000,KRW,SHIPPED,KR01
SO-2026-00145,2026-09-18,2026-10-10,CUST-003,FG-2001,148,28000,4144000,KRW,CONFIRMED,KR01
SO-2026-00146,2026-09-14,2026-10-14,CUST-001,FG-2002,247,22000,5434000,KRW,CONFIRMED,KR01
SO-2026-00147,2026-09-08,2026-10-06,CUST-001,FG-1003,43,35000,1505000,KRW,PARTIAL,KR01
SO-2026-00148,2026-09-25,2026-10-23,CUST-005,FG-2002,25,22000,550000,USD,PARTIAL,KR01
SO-2026-00149,2026-09-25,2026-10-07,CUST-001,FG-2002,215,22000,4730000,KRW,SHIPPED,KR01
SO-2026-00150,2026-09-19,2026-10-09,CUST-003,FG-2001,66,28000,1848000,KRW,SHIPPED,KR01
SO-2026-00151,2026-09-12,2026-10-02,CUST-001,FG-2001,140,28000,3920000,KRW,CONFIRMED,KR01
SO-2026-00152,2026-09-14,2026-10-13,CUST-002,FG-1001,104,42000,4368000,KRW,SHIPPED,KR01
SO-2026-00153,2026-09-15,2026-09-24,CUST-005,FG-2001,29,28000,812000,USD,CONFIRMED,KR01
SO-2026-00154,2026-09-13,2026-10-17,CUST-001,FG-1003,217,35000,7595000,KRW,SHIPPED,KR01
SO-2026-00155,2026-09-18,2026-10-09,CUST-006,FG-1001,242,42000,10164000,USD,CONFIRMED,KR01
SO-2026-00156,2026-09-20,2026-10-21,CUST-005,FG-1002,112,89000,9968000,USD,SHIPPED,KR01
SO-2026-00157,2026-09-09,2026-10-03,CUST-001,FG-2001,72,28000,2016000,KRW,OPEN,KR01
SO-2026-00158,2026-09-23,2026-10-15,CUST-004,FG-1003,245,35000,8575000,USD,OPEN,KR01
SO-2026-00159,2026-09-06,2026-09-22,CUST-002,FG-2002,201,22000,4422000,KRW,SHIPPED,KR01
SO-2026-00160,2026-09-08,2026-10-11,CUST-004,FG-2002,43,22000,946000,USD,PARTIAL,KR01
SO-2026-00161,2026-09-05,2026-09-27,CUST-001,FG-2001,185,28000,5180000,KRW,PARTIAL,KR01
SO-2026-00162,2026-09-09,2026-09-29,CUST-005,FG-1003,200,35000,7000000,USD,PARTIAL,KR01
SO-2026-00163,2026-10-18,2026-10-29,CUST-002,FG-2001,136,28000,3808000,KRW,CONFIRMED,KR01
SO-2026-00164,2026-10-05,2026-11-08,CUST-005,FG-2002,211,22000,4642000,USD,OPEN,KR01
SO-2026-00165,2026-10-17,2026-11-01,CUST-003,FG-2001,259,28000,7252000,KRW,PARTIAL,KR01
SO-2026-00166,2026-10-19,2026-11-13,CUST-006,FG-1003,96,35000,3360000,USD,CANCELLED,KR01
SO-2026-00167,2026-10-18,2026-11-09,CUST-002,FG-2001,134,28000,3752000,KRW,CONFIRMED,KR01
SO-2026-00168,2026-10-15,2026-11-01,CUST-005,FG-2002,116,22000,2552000,USD,PARTIAL,KR01
SO-2026-00169,2026-10-08,2026-11-11,CUST-005,FG-1002,118,89000,10502000,USD,SHIPPED,KR01
SO-2026-00170,2026-10-16,2026-11-14,CUST-003,FG-1001,210,42000,8820000,KRW,PARTIAL,KR01
SO-2026-00171,2026-10-21,2026-11-01,CUST-004,FG-2001,189,28000,5292000,USD,SHIPPED,KR01
SO-2026-00172,2026-10-19,2026-11-05,CUST-002,FG-1001,148,42000,6216000,KRW,PARTIAL,KR01
SO-2026-00173,2026-10-15,2026-10-22,CUST-001,FG-2001,154,28000,4312000,KRW,SHIPPED,KR01
SO-2026-00174,2026-10-03,2026-10-25,CUST-006,FG-2001,59,28000,1652000,USD,SHIPPED,KR01
SO-2026-00175,2026-10-23,2026-11-11,CUST-003,FG-1003,179,35000,6265000,KRW,SHIPPED,KR01
SO-2026-00176,2026-10-18,2026-11-06,CUST-006,FG-1003,239,35000,8365000,USD,CANCELLED,KR01
SO-2026-00177,2026-10-20,2026-10-29,CUST-005,FG-2001,29,28000,812000,USD,CONFIRMED,KR01
SO-2026-00178,2026-10-03,2026-10-23,CUST-002,FG-1003,211,35000,7385000,KRW,CANCELLED,KR01
SO-2026-00179,2026-10-23,2026-11-08,CUST-004,FG-1001,62,42000,2604000,USD,PARTIAL,KR01
SO-2026-00180,2026-10-02,2026-10-18,CUST-003,FG-1001,223,42000,9366000,KRW,CONFIRMED,KR01
SO-2026-00181,2026-11-17,2026-12-07,CUST-002,FG-2001,82,28000,2296000,KRW,SHIPPED,KR01
SO-2026-00182,2026-11-03,2026-11-29,CUST-002,FG-1002,64,89000,5696000,KRW,PARTIAL,KR01
SO-2026-00183,2026-11-16,2026-12-11,CUST-006,FG-2002,81,22000,1782000,USD,OPEN,KR01
SO-2026-00184,2026-11-15,2026-11-30,CUST-006,FG-2001,85,28000,2380000,USD,SHIPPED,KR01
SO-2026-00185,2026-11-18,2026-11-30,CUST-003,FG-2001,193,28000,5404000,KRW,OPEN,KR01
SO-2026-00186,2026-11-21,2026-12-11,CUST-005,FG-1003,96,35000,3360000,USD,SHIPPED,KR01
SO-2026-00187,2026-11-13,2026-12-17,CUST-003,FG-2001,70,28000,1960000,KRW,SHIPPED,KR01
SO-2026-00188,2026-11-12,2026-12-07,CUST-004,FG-1002,166,89000,14774000,USD,CONFIRMED,KR01
SO-2026-00189,2026-11-22,2026-12-11,CUST-001,FG-1003,232,35000,8120000,KRW,CONFIRMED,KR01
SO-2026-00190,2026-11-24,2026-12-02,CUST-006,FG-2002,219,22000,4818000,USD,PARTIAL,KR01
SO-2026-00191,2026-11-08,2026-12-04,CUST-003,FG-2001,218,28000,6104000,KRW,PARTIAL,KR01
SO-2026-00192,2026-11-20,2026-12-05,CUST-006,FG-1002,68,89000,6052000,USD,SHIPPED,KR01
SO-2026-00193,2026-11-21,2026-12-18,CUST-006,FG-1002,44,89000,3916000,USD,OPEN,KR01
SO-2026-00194,2026-11-12,2026-12-12,CUST-001,FG-2001,168,28000,4704000,KRW,OPEN,KR01
SO-2026-00195,2026-11-14,2026-11-26,CUST-003,FG-1003,211,35000,7385000,KRW,CONFIRMED,KR01
SO-2026-00196,2026-11-17,2026-12-02,CUST-003,FG-2002,155,22000,3410000,KRW,PARTIAL,KR01
SO-2026-00197,2026-11-10,2026-12-10,CUST-004,FG-1003,226,35000,7910000,USD,PARTIAL,KR01
SO-2026-00198,2026-11-05,2026-12-06,CUST-004,FG-1001,39,42000,1638000,USD,CANCELLED,KR01
SO-2026-00199,2026-12-03,2027-01-04,CUST-005,FG-2001,113,28000,3164000,USD,CONFIRMED,KR01
SO-2026-00200,2026-12-15,2027-01-02,CUST-005,FG-1003,51,35000,1785000,USD,SHIPPED,KR01
SO-2026-00201,2026-12-21,2027-01-08,CUST-005,FG-1003,117,35000,4095000,USD,OPEN,KR01
SO-2026-00202,2026-12-20,2027-01-24,CUST-004,FG-1002,26,89000,2314000,USD,PARTIAL,KR01
SO-2026-00203,2026-12-21,2026-12-30,CUST-005,FG-1003,76,35000,2660000,USD,SHIPPED,KR01
SO-2026-00204,2026-12-21,2027-01-10,CUST-006,FG-2001,97,28000,2716000,USD,OPEN,KR01
SO-2026-00205,2026-12-16,2026-12-26,CUST-001,FG-1001,97,42000,4074000,KRW,OPEN,KR01
SO-2026-00206,2026-12-15,2027-01-02,CUST-002,FG-2002,119,22000,2618000,KRW,SHIPPED,KR01
SO-2026-00207,2026-12-24,2027-01-23,CUST-004,FG-2002,170,22000,3740000,USD,CONFIRMED,KR01
SO-2026-00208,2026-12-16,2027-01-11,CUST-006,FG-2001,45,28000,1260000,USD,CONFIRMED,KR01
SO-2026-00209,2026-12-12,2026-12-25,CUST-001,FG-1003,196,35000,6860000,KRW,CONFIRMED,KR01
SO-2026-00210,2026-12-22,2027-01-09,CUST-003,FG-1002,45,89000,4005000,KRW,SHIPPED,KR01
SO-2026-00211,2026-12-09,2026-12-22,CUST-001,FG-1003,121,35000,4235000,KRW,CANCELLED,KR01
SO-2026-00212,2026-12-07,2027-01-03,CUST-001,FG-2001,189,28000,5292000,KRW,SHIPPED,KR01
SO-2026-00213,2026-12-11,2026-12-25,CUST-001,FG-1001,221,42000,9282000,KRW,CANCELLED,KR01
SO-2026-00214,2026-12-25,2027-01-18,CUST-002,FG-2002,37,22000,814000,KRW,CONFIRMED,KR01
SO-2026-00215,2026-12-25,2027-01-05,CUST-002,FG-1002,104,89000,9256000,KRW,SHIPPED,KR01
SO-2026-00216,2026-12-05,2026-12-16,CUST-001,FG-2002,90,22000,1980000,KRW,SHIPPED,KR01
