result_date,production_order_no,plant_code,material_code,good_qty,defect_qty,oee,availability,performance,quality_rate
2026-03-14,MO-2026-00044,CN11,FG-2001,835,18,65.8,89.7,96.5,99.4
2026-03-06,MO-2026-00045,CN11,FG-2002,1047,20,89.6,96.1,74.6,96.4
2026-04-15,MO-2026-00046,KR11,FG-1001,1069,10,81.1,96.0,92.6,97.2
2026-04-11,MO-2026-00047,KR11,FG-1002,848,16,85.6,89.5,69.4,95.4
2026-04-24,MO-2026-00048,KR11,FG-1003,1122,34,73.3,92.4,91.7,96.5
2026-04-08,MO-2026-00049,KR11,FG-2001,589,20,69.8,72.8,78.3,98.9
2026-04-10,MO-2026-00050,KR11,FG-2002,533,39,88.8,89.0,80.9,97.1
2026-04-12,MO-2026-00051,VN11,FG-1001,940,35,83.7,89.7,76.0,94.2
2026-04-20,MO-2026-00052,VN11,FG-1002,596,23,62.1,72.4,92.7,96.9
2026-04-12,MO-2026-00053,VN11,FG-1003,1037,30,87.3,78.3,79.9,95.8
2026-04-13,MO-2026-00054,VN11,FG-2001,643,23,67.6,71.2,81.2,94.1
2026-04-07,MO-2026-00055,VN11,FG-2002,725,34,74.4,90.4,74.8,92.5
2026-04-21,MO-2026-00056,CN11,FG-1001,1031,19,64.4,94.4,89.4,95.9
2026-04-08,MO-2026-00057,CN11,FG-1002,1302,11,90.5,74.5,74.4,93.5
2026-04-19,MO-2026-00058,CN11,FG-1003,271,38,69.7,94.6,95.4,92.5
2026-04-19,MO-2026-00059,CN11,FG-2001,989,0,85.6,86.8,83.7,95.3
2026-04-07,MO-2026-00060,CN11,FG-2002,932,6,85.6,93.4,94.4,98.8
2026-05-18,MO-2026-00061,KR11,FG-1001,700,17,74.1,86.7,88.4,95.1
2026-05-10,MO-2026-00062,KR11,FG-1002,1069,17,88.9,70.5,92.5,94.4
2026-05-09,MO-2026-00063,KR11,FG-1003,816,19,91.2,82.0,92.8,94.1
2026-05-20,MO-2026-00064,KR11,FG-2001,1026,31,84.8,93.4,92.6,96.0
2026-05-17,MO-2026-00065,KR11,FG-2002,444,36,62.9,75.2,93.0,98.5
2026-05-17,MO-2026-00066,VN11,FG-1001,605,23,86.7,83.6,87.1,93.0
2026-05-19,MO-2026-00067,VN11,FG-1002,236,37,78.5,79.3,93.1,94.0
2026-05-11,MO-2026-00068,VN11,FG-1003,371,14,82.3,77.3,80.3,92.2
2026-05-08,MO-2026-00069,VN11,FG-2001,232,16,80.3,95.5,89.4,97.5
2026-05-21,MO-2026-00070,VN11,FG-2002,732,13,76.0,88.3,92.7,95.1
2026-05-22,MO-2026-00071,CN11,FG-1001,339,38,70.5,88.5,82.5,94.6
2026-05-15,MO-2026-00072,CN11,FG-1002,780,9,77.5,76.5,69.7,98.7
2026-05-10,MO-2026-00073,CN11,FG-1003,1030,16,89.2,80.9,90.1,96.5
2026-05-23,MO-2026-00074,CN11,FG-2001,554,19,87.4,92.7,94.3,93.4
2026-05-13,MO-2026-00075,CN11,FG-2002,402,14,72.7,90.1,77.2,98.1
2026-06-18,MO-2026-00076,KR11,FG-1001,837,3,88.0,85.8,96.3,92.6
2026-06-23,MO-2026-00077,KR11,FG-1002,579,26,63.6,93.1,72.1,93.6
2026-06-19,MO-2026-00078,KR11,FG-1003,1128,11,85.4,83.2,86.9,93.4
2026-06-10,MO-2026-00079,KR11,FG-2001,297,5,65.9,81.7,80.9,95.3
2026-06-14,MO-2026-00080,KR11,FG-2002,1094,20,84.7,84.3,68.5,92.0
2026-06-14,MO-2026-00081,VN11,FG-1001,637,24,77.1,78.3,70.0,92.4
2026-06-19,MO-2026-00082,VN11,FG-1002,760,21,91.9,83.2,90.5,93.3
2026-06-10,MO-2026-00083,VN11,FG-1003,850,37,77.1,73.3,89.3,98.2
2026-06-04,MO-2026-00084,VN11,FG-2001,1038,1,63.4,73.1,81.3,93.0
2026-06-07,MO-2026-00085,VN11,FG-2002,706,6,81.9,77.3,86.2,93.1
2026-06-13,MO-2026-00086,CN11,FG-1001,404,31,68.0,75.4,75.9,96.1
2026-06-08,MO-2026-00087,CN11,FG-1002,567,31,89.3,88.6,82.4,93.8
2026-06-20,MO-2026-00088,CN11,FG-1003,236,32,64.3,89.5,95.1,97.0
2026-06-17,MO-2026-00089,CN11,FG-2001,1230,11,88.2,93.0,78.8,97.3
2026-06-04,MO-2026-00090,CN11,FG-2002,1100,10,71.9,94.2,96.7,94.1
2026-07-12,MO-2026-00091,KR11,FG-1001,369,29,70.2,80.4,93.5,98.2
2026-07-06,MO-2026-00092,KR11,FG-1002,473,26,89.3,83.0,85.1,95.4
2026-07-14,MO-2026-00093,KR11,FG-1003,1019,7,88.6,81.9,69.9,97.1
2026-07-15,MO-2026-00094,KR11,FG-2001,237,33,82.6,86.7,81.0,97.7
2026-07-17,MO-2026-00095,KR11,FG-2002,1072,39,63.6,87.4,72.7,98.6
2026-07-23,MO-2026-00096,VN11,FG-1001,1269,21,91.1,71.4,74.7,97.0
2026-07-24,MO-2026-00097,VN11,FG-1002,1052,31,75.4,73.2,82.9,97.1
2026-07-04,MO-2026-00098,VN11,FG-1003,380,39,81.1,94.0,84.9,97.1
2026-07-07,MO-2026-00099,VN11,FG-2001,1208,21,78.8,86.7,82.2,97.1
2026-07-10,MO-2026-00100,VN11,FG-2002,973,22,86.9,96.0,76.8,96.1
2026-07-13,MO-2026-00101,CN11,FG-1001,371,16,80.3,75.1,95.9,95.1
2026-07-14,MO-2026-00102,CN11,FG-1002,1195,2,89.8,92.6,85.7,98.0
2026-07-14,MO-2026-00103,CN11,FG-1003,1051,33,84.1,84.9,81.0,96.6
2026-07-10,MO-2026-00104,CN11,FG-2001,1266,24,81.7,86.4,77.7,98.9
2026-07-14,MO-2026-00105,CN11,FG-2002,1136,21,91.1,82.2,72.0,95.2
2026-08-21,MO-2026-00106,KR11,FG-1001,1142,12,68.3,89.3,88.6,99.2
2026-08-16,MO-2026-00107,KR11,FG-1002,504,40,71.7,73.1,78.6,95.7
2026-08-18,MO-2026-00108,KR11,FG-1003,1043,33,65.2,80.3,69.6,92.4
2026-08-16,MO-2026-00109,KR11,FG-2001,787,3,82.7,78.0,90.6,92.3
2026-08-18,MO-2026-00110,KR11,FG-2002,977,15,77.3,91.5,88.9,97.4
2026-08-21,MO-2026-00111,VN11,FG-1001,357,0,84.3,75.5,94.1,98.7
2026-08-22,MO-2026-00112,VN11,FG-1002,1157,12,85.3,96.0,76.8,93.4
2026-08-12,MO-2026-00113,VN11,FG-1003,319,27,70.4,77.1,72.8,98.6
2026-08-07,MO-2026-00114,VN11,FG-2001,213,20,79.9,90.9,86.8,98.6
2026-08-15,MO-2026-00115,VN11,FG-2002,774,33,68.6,75.0,70.0,95.9
2026-08-17,MO-2026-00116,CN11,FG-1001,1019,21,71.9,77.9,96.5,96.8
2026-08-04,MO-2026-00117,CN11,FG-1002,1254,28,69.2,87.3,95.6,93.9
2026-08-12,MO-2026-00118,CN11,FG-1003,289,34,83.7,70.7,83.5,98.0
2026-08-08,MO-2026-00119,CN11,FG-2001,1289,20,77.4,95.6,73.0,99.5
2026-08-12,MO-2026-00120,CN11,FG-2002,1267,6,68.2,92.4,94.4,97.8
2026-09-07,MO-2026-00121,KR11,FG-1001,1084,21,63.1,72.0,73.3,94.0
2026-09-17,MO-2026-00122,KR11,FG-1002,347,28,80.9,81.7,68.5,97.3
2026-09-05,MO-2026-00123,KR11,FG-1003,1082,22,89.8,72.9,91.6,94.4
2026-09-21,MO-2026-00124,KR11,FG-2001,347,30,66.7,75.9,90.4,98.2
2026-09-17,MO-2026-00125,KR11,FG-2002,1178,35,88.2,73.8,69.3,96.5
2026-09-15,MO-2026-00126,VN11,FG-1001,984,13,74.4,87.4,83.4,93.3
2026-09-08,MO-2026-00127,VN11,FG-1002,672,3,87.5,95.2,97.8,95.6
2026-09-12,MO-2026-00128,VN11,FG-1003,1113,37,76.6,78.9,71.8,97.1
2026-09-14,MO-2026-00129,VN11,FG-2001,374,28,71.9,87.8,88.8,93.2
2026-09-08,MO-2026-00130,VN11,FG-2002,986,15,85.6,89.2,87.2,94.2
2026-09-25,MO-2026-00131,CN11,FG-1001,816,22,85.2,83.1,71.3,97.0
2026-09-15,MO-2026-00132,CN11,FG-1002,406,16,84.0,86.9,89.8,99.0
2026-09-18,MO-2026-00133,CN11,FG-1003,1208,35,69.8,94.1,84.2,97.1
2026-09-14,MO-2026-00134,CN11,FG-2001,468,32,77.3,80.7,83.1,97.2
2026-09-10,MO-2026-00135,CN11,FG-2002,549,36,81.8,96.1,90.1,95.8
2026-10-11,MO-2026-00136,KR11,FG-1001,793,23,69.0,88.1,83.5,98.2
2026-10-04,MO-2026-00137,KR11,FG-1002,962,6,83.1,84.1,92.9,98.5
2026-10-21,MO-2026-00138,KR11,FG-1003,714,37,81.6,92.6,83.5,94.9
2026-10-21,MO-2026-00139,KR11,FG-2001,624,38,62.2,93.8,81.2,93.8
2026-10-10,MO-2026-00140,KR11,FG-2002,1223,38,83.5,73.2,74.9,98.3
2026-10-11,MO-2026-00141,VN11,FG-1001,447,1,69.3,73.5,85.8,93.1
2026-10-06,MO-2026-00142,VN11,FG-1002,1065,11,77.5,80.9,97.1,97.0
2026-10-25,MO-2026-00143,VN11,FG-1003,847,14,86.9,86.2,91.8,98.4
2026-10-13,MO-2026-00144,VN11,FG-2001,561,38,79.7,76.2,79.6,92.8
2026-10-18,MO-2026-00145,VN11,FG-2002,618,6,67.3,94.3,86.0,98.8
2026-10-20,MO-2026-00146,CN11,FG-1001,1218,34,86.8,94.2,91.2,97.1
2026-10-19,MO-2026-00147,CN11,FG-1002,1185,24,72.5,91.7,95.2,98.5
2026-10-11,MO-2026-00148,CN11,FG-1003,375,38,88.3,81.0,73.7,97.5
2026-10-09,MO-2026-00149,CN11,FG-2001,231,20,74.3,72.9,80.8,96.6
2026-10-18,MO-2026-00150,CN11,FG-2002,785,13,74.4,91.2,82.5,94.9
2026-11-20,MO-2026-00151,KR11,FG-1001,1283,7,84.4,82.1,89.0,93.3
2026-11-06,MO-2026-00152,KR11,FG-1002,605,40,62.2,72.5,72.4,99.2
2026-11-15,MO-2026-00153,KR11,FG-1003,956,2,83.7,95.1,80.0,97.1
2026-11-15,MO-2026-00154,KR11,FG-2001,822,0,68.1,87.7,92.1,94.2
2026-11-12,MO-2026-00155,KR11,FG-2002,295,23,69.2,70.0,72.7,99.8
2026-11-17,MO-2026-00156,VN11,FG-1001,958,4,89.6,84.8,89.8,96.4
2026-11-13,MO-2026-00157,VN11,FG-1002,840,25,79.2,77.0,80.2,92.8
2026-11-14,MO-2026-00158,VN11,FG-1003,338,34,86.4,85.5,88.8,99.5
2026-11-24,MO-2026-00159,VN11,FG-2001,1235,1,76.5,77.0,79.5,98.2
2026-11-19,MO-2026-00160,VN11,FG-2002,650,33,78.1,88.9,75.9,94.2
2026-11-13,MO-2026-00161,CN11,FG-1001,1010,30,71.4,75.9,85.2,93.4
2026-11-14,MO-2026-00162,CN11,FG-1002,583,14,68.1,76.7,86.6,93.2
2026-11-18,MO-2026-00163,CN11,FG-1003,394,2,87.4,80.0,77.5,99.0
2026-11-17,MO-2026-00164,CN11,FG-2001,721,36,65.8,84.2,80.7,99.3
2026-11-15,MO-2026-00165,CN11,FG-2002,262,33,75.8,88.6,68.4,93.6
2026-12-13,MO-2026-00166,KR11,FG-1001,392,16,69.1,82.7,86.4,94.9
2026-12-19,MO-2026-00167,KR11,FG-1002,1149,17,75.5,85.4,97.4,97.4
2026-12-22,MO-2026-00168,KR11,FG-1003,438,9,86.0,89.9,82.2,92.1
2026-12-20,MO-2026-00169,KR11,FG-2001,1024,16,78.9,85.3,80.0,97.4
2026-12-13,MO-2026-00170,KR11,FG-2002,307,16,72.8,85.1,96.0,94.0
2026-12-17,MO-2026-00171,VN11,FG-1001,247,18,72.7,88.2,82.6,97.7
2026-12-09,MO-2026-00172,VN11,FG-1002,346,26,80.9,85.4,93.5,92.6
2026-12-16,MO-2026-00173,VN11,FG-1003,497,25,70.1,82.0,93.9,94.8
2026-12-08,MO-2026-00174,VN11,FG-2001,1356,15,81.9,95.4,89.0,92.6
2026-12-26,MO-2026-00175,VN11,FG-2002,537,1,85.1,84.1,97.9,92.8
2026-12-19,MO-2026-00176,CN11,FG-1001,461,15,84.1,82.0,71.8,96.1
2026-12-20,MO-2026-00177,CN11,FG-1002,461,34,90.0,84.8,72.1,99.4
2026-12-24,MO-2026-00178,CN11,FG-1003,1146,19,89.3,83.0,74.8,92.7
2026-12-12,MO-2026-00179,CN11,FG-2001,762,33,86.5,92.9,78.3,95.7
2026-12-22,MO-2026-00180,CN11,FG-2002,234,27,85.9,86.1,91.9,96.3
